9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
,Doutorado,40h,1,,Mestrado,40h,3,,Mestrado,40h,1,,Mestrado,40h,3,,Especialização,20h,(Em branco)
,Especialização,40h,1,,Doutorado,DE,39,,Doutorado,DE,36,,Doutorado,DE,35,,Mestrado,20h,(Em branco)
,Graduação,40h,1,,Especialização,DE,24,,Especialização,DE,18,,Especialização,DE,15,,Doutorado,40h,1
,Mestrado,40h,3,,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Especialização,40h,4
,Doutorado,DE,10,,Mestrado,DE,77,,Mestrado,DE,82,,Mestrado,DE,87,,Mestrado,40h,3
,Especialização,DE,14,Campus Montes Claros,Doutorado,20h,(Em branco),Campus Montes Claros,Doutorado,20h,(Em branco),Campus Montes Claros,Doutorado,20h,(Em branco),,Doutorado,DE,18
,Graduação,DE,1,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,DE,7
,Mestrado,DE,46,,Graduação,20h,1,,Graduação,20h,1,,Graduação,20h,(Em branco),,Mestrado,DE,52
Campus Pirapora,Aperfeiçoamento,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),Campus Pirapora,Doutorado,20h,(Em branco)
,Doutorado,20h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Especialização,20h,(Em branco)
,Especialização,20h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Graduação,20h,(Em branco)
,Graduação,20h,(Em branco),,Graduação,40h,5,,Graduação,40h,4,,Graduação,40h,3,,Mestrado,20h,(Em branco)
,Mestrado,20h,(Em branco),,Mestrado,40h,1,,Mestrado,40h,1,,Mestrado,40h,1,,Doutorado,40h,2
,Aperfeiçoamento,40h,(Em branco),,Doutorado,DE,14,,Doutorado,DE,17,,Doutorado,DE,17,,Especialização,40h,5
,Doutorado,40h,(Em branco),,Especialização,DE,12,,Especialização,DE,11,,Especialização,DE,6,,Graduação,40h,2
,Especialização,40h,4,,Graduação,DE,1,,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Mestrado,40h,4
,Graduação,40h,7,,Mestrado,DE,45,,Mestrado,DE,46,,Mestrado,DE,50,,Doutorado,DE,14
